Name,Rating,Reviews,Average_Price(¥),Popularity_Score,Access,Tabelog_URL
"うなぎ四代目菊川 クロスゲート金沢店",3.50,130,5500,34.0,"金沢駅西口から徒歩2分","https://tabelog.com/ishikawa/A1701/A170101/17012280/"
"一誠",3.03,5,17500,1.1,"近江町や金沢駅から徒歩約１０分","https://tabelog.com/ishikawa/A1701/A170101/17015151/"
"吟の小判",3.30,57,5500,14.0,"JR金沢駅東口から徒歩1分(地下連絡通路で接続)","https://tabelog.com/ishikawa/A1701/A170101/17000539/"
"炉端とおでん 呼炉凪来 金沢駅前店",3.13,99,2500,23.1,"金沢駅徒歩2分\n北鉄金沢駅徒歩1分","https://tabelog.com/ishikawa/A1701/A170101/17014669/"
"すずや",3.53,123,6500,32.4,"金沢駅兼六園口（東口）より徒歩8分","https://tabelog.com/ishikawa/A1701/A170101/17008378/"
"鹿児島県霧島市 塚田農場 金沢駅西口店",3.03,34,3500,7.7,"①JR西日本 金沢駅\n兼六園口(東口)広場 徒歩2分","https://tabelog.com/ishikawa/A1701/A170101/17010651/"
"個室居酒屋 九十九 金沢店",3.08,57,2500,13.1,"北陸鉄道浅野川線 北鉄金沢駅 徒歩1分","https://tabelog.com/ishikawa/A1701/A170101/17012309/"
"和酒と和談 かこみ料理 醍庵",3.44,143,3500,36.7,"JR金沢駅兼六園口(東口)より徒歩2分","https://tabelog.com/ishikawa/A1701/A170101/17000368/"
"くいもの屋わん 金沢駅前店",3.03,23,3500,5.2,"金沢駅兼六園口(東口）からすぐ！","https://tabelog.com/ishikawa/A1701/A170101/17008925/"
"肉＆おでん 金沢風土研究所",3.30,71,5500,17.5,"金沢駅東口から正面玄関エスカレーターを下りて日航ホテル（ポルテ金沢B1F）方面【徒歩3～5分】","https://tabelog.com/ishikawa/A1701/A170101/17011432/"
"居酒屋はち丸 別館",3.17,56,5500,16.6,"金沢駅兼六園口（東口）より徒歩5分。六枚町交差点近くです。","https://tabelog.com/ishikawa/A1701/A170101/17010422/"
"焼肉ホルモン誠 金沢駅前店",3.08,10,3500,2.3,"金沢駅から徒歩5分\n（ファミリーマートの裏の1階）","https://tabelog.com/ishikawa/A1701/A170101/17014876/"
"はち丸 金沢駅前店",3.50,217,5500,56.7,"JR北陸本線「金沢」駅兼六園口より徒歩5分","https://tabelog.com/ishikawa/A1701/A170101/17006946/"
"ざくろ",3.31,83,4500,20.5,"JR金沢駅東口から徒歩3分/セントラルアークビル3F","https://tabelog.com/ishikawa/A1701/A170101/17000566/"
"ステーキ片瀬",3.34,32,6500,8.0,"JR金沢駅徒歩5分","https://tabelog.com/ishikawa/A1701/A170101/17008235/"
"おでん 煌星",3.08,19,2000,4.4,"金沢駅東口堤門より近江町市場方面へ途中で左折し別院通り中ほど\n金沢駅より徒歩６～７分ほど","https://tabelog.com/ishikawa/A1701/A170101/17014359/"
"博多もつ鍋 馬肉 九州自慢 金沢駅前店",3.08,23,3500,5.3,"JR金沢駅より徒歩5分！","https://tabelog.com/ishikawa/A1701/A170101/17010848/"
